you:3
?:3
there:2
have:2
for:2
with:2
a:2
that:2
let:2
me:2
your:2
can:2
and:1
help:1
number:1
,:1
full:1
are:1
in:1
<num>:1
<cur>:1
dob:1
referring:1
few:1
get:1
please:1
hey:1
check:1
to:1
details:1
sim:1
good:1
okay:1
name:1
discount:1
plan:1
data:1
sorry:1
look:1
account:1
':1
i:1
morning:1
mobile:1
s:1
the:1
hello:1
