i:6
was:4
hi:4
and:3
in:3
<num>:3
to:3
a:3
sim:3
the:3
<unk>:3
just:2
there:2
that:2
today:2
not:2
for:2
my:2
order:2
live:1
triple:1
doing:1
is:1
am:1
number:1
an:1
down:1
dear:1
as:1
im:1
have:1
touch:1
home:1
saw:1
its:1
if:1
finally:1
upgrade:1
deal:1
service:1
broadband:1
,:1
been:1
current:1
going:1
wondering:1
email:1
told:1
hey:1
business:1
get:1
tenzin:1
stolen:1
but:1
it:1
plan:1
chat:1
believe:1
data:1
day:1
card:1
received:1
days:1
need:1
could:1
up:1
n:1
bad:1
of:1
following:1
replacement:1
